code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,registerType,sector,structure,subnationalCoverage,url
LB-MOI,The Ministry of Interior is the main registration body in Lebanon. All NGOs are required to register with the Ministry of Interior.,,False,,"Ask organisations for their registration number, as issued by the Ministry of Interior. ",ar,No online list could be located.,,True,LB,data_not_available,,,,no_license,False,,,,secondary,2017-08-05,IATI,Ministry of Interior (Lebanon),,55,,,,,,,,,,5,,,,50,,,charity,,http://www.interior.gov.lb/
CA-CC,"Corporations Canada are the federal company register. 

CA-CC should be used for the Canada Corporation Number

Companies in Canada register with their provincial authority, e.g. British Columbia. While there is currently no complete national database for companies in Canada, Corporations Canada are piloting a Business Search Registry, which allows for the search of multiple jurisdictions at once, but not all - https://www.ic.gc.ca/app/scr/ccbr/search-chercher?lang=eng

Corporations Canada also provides a Federal Corporation search - https://www.ic.gc.ca/app/scr/cc/CorporationsCanada/fdrlCrpSrch.html?locale=en_CA

This entry was imported from the Open Corporates Jurisdiction List.",,False,"784899-4 , 2212809, 260354410, 7541724","Federal Corporation Search:
Users can find identifiers by using the simple, searchable database which is hosted by the Canadian Government, on a website separate to the Canadian Revenue Agency. The two identifiers available to the user are the Corporate Number and the Business Number. The identifiers will be next to these names, respectively.

Business Search Registry

Users can find identifiers by using this incomplete database. To find identifiers, click on the hyperlinked name or the 'More' drop-down menu to the right of the name.

Users should note that results that have been pulled from Ontario's registry will not successfully link to corporate information, but will take the user to the homepage for the public record search. But clicking 'More' will reveal the identifer'

When using the Business Search Registry, identifiers from different state registration authorities are provided. This means they use different formats.","en, fr",Limited details from an incomplete database,"https://www.ic.gc.ca/app/scr/ccbr/search-chercher?lang=eng , https://www.ic.gc.ca/app/scr/cc/CorporationsCanada/fdrlCrpSrch.html?locale=en_CA",True,CA,html,,"directors_trustees_governors, accounts, date_of_registration, registration_number, financial_turnover/details, organisation_name, organisation_type, registered_address",http://index.okfn.org/place/canada/companies/,closed_license,,,http://opencorporates.com/companies/ca,,secondary,2016-12-14,Desk research,Corporations Canada,,50,,,,,,,,,0,,,,,50,,,company,,http://www.ic.gc.ca/eic/site/cd-dgc.nsf/eng/home
UA-EDR,"The Ministry of Justice hosts the United State Register for all corporate entities, individuals and community groups who are registered in Ukraine. Each corporate entity is assigned an identification code which can be used as a unique identifier.

The is a free search and a paid search of the database, and there is a third party search in Russian.

""The Ministry of Justice of Ukraine introduced online service to obtain information from the Unified State Register of Legal Entities, individual entrepreneurs and community groups"" [1]

[1] https://usr.minjust.gov.ua/ua/home",,False,"38422948, 19280108","Users can find identifiers by using the database on the Ministry website. Users will need to complete a Captcha puzzle in order to search, and the identifiers will be under the column header 'Ідентифіка- ційний код юридичної особи' .This website is in Ukrainian.

Users can find identifiers using the third-party website, Papir. The Identifiers will be next to the column header 'Код регистрации'. This website is in Russian.","uk, ru",,Ministry - https://usr.minjust.gov.ua/ua/freesearch Third-party - http://askpapir.com/,True,UA,html,Users must complete a Captcha puzzle in order to search,"registered_address, registration_number, organisation_name, status, directors_trustees_governors",http://index.okfn.org/place/ukraine/companies/,closed_license,,,,,primary,2016-12-16,Desk research,United State Register , Єдиного державного реєстру юридичних осіб,75,,,,,,,,,0,,,,75,,,,company,,https://usr.minjust.gov.ua/ua/home
FR-INSEE,"The National Institute of Statistics and Economic Studies provide a registration service for companies and associations with details being held on the SIRENE database.

Information from INSEE is also contained in the RCS dataset, and so this organisation list is deprecated in favour of FR-RCS. ",,False,,,,,,True,FR,,,,,,True,,,,deprecated,,,The National Institute of Statistics and Economic Studies , Institute National de la Statistique et des etudes economiques,0,,,,,,,,,,,,,,,,,,,http://www.insee.fr/fr/service/default.asp?page=entreprises/entreprise.htm
IN-MCA,"Companies in India register with the Registrar of Companies in their state. While each Registrar of Companies maintains their own database, the Ministry of Corporate Affairs regulates the corporate sector and maintains a database of national company information. 

This information is accessible in data.gov.in

""The Registrar of Companies (ROC) is an office under the Indian Ministry of Corporate Affairs that deals with administration of the Companies Act 1956 and Companies Act, 2013. There are currently 22 Registrars of Companies (ROC) operating from offices in all major states of India. Some states, such as Maharashtra and Tamil Nadu, have two ROCs each. Section 609 of the Companies Act, 1956 tasks the ROCs with the primary duty of registering companies and LLPs floated in the respective states and the union territories under their administration.

The Registrar of Company takes care of company registration (also known as incorporation) in India, completes reporting and regulation of companies and their directors and shareholders, and also oversees government reporting of various matters including the annual filling of various documents."" [1]

[1] https://en.wikipedia.org/wiki/Registrar_of_Companies,_India
",,False,"L24111UR1986PLC015895, U01111UR1995PLC017979, U24222UR1975PTC004194","Users can access data on the data.gov.in website and applying the filter for the Ministry of Corporate Affairs. Company data is then represented in a number of dataset. Users can click on the 'Company master data' box, and will be presented with datasets for each Registrar of Companies.

These datasets can either be accessed through the API or downloaded as a CSV. If downloaded as a CSV, the identifier will be under the column header 'CORPORATE_IDENTIFICATION_NUMBER'","en, hi",Users must go to a different website to access the data available from the Ministry of Corporate Affairs,https://data.gov.in/catalogs/ministry_department/ministry-corporate-affairs,True,IN,"api, csv",,"date_of_registration, organisation_name, status, registration_number, organisation_type, objectives/purpose, financial_turnover/details",https://opencorporates.com/registers/111,closed_license,,,http://opencorporates.com/companies/in,,secondary,2016-11-25,Desk research,"Government of India, Ministry of Corporate Affairs",,53,2,,1,,,,,,0,,,,,50,,,company,,http://www.mca.gov.in/
SG-ACRA,"The Accounting and Corporate Regulatory Authority (ACRA) is the national regulator of business entities, public accountants and corporate service providers in Singapore. Each corporate entity receives a Unique Entity Number (UEN), which should be used as the identifier.

""Registering or setting up a company in Singapore is accomplished through contacting Accounting and Corporate Regulatory Authority (ACRA)."" [1] 

""From 1 January 2009, all entities that are registered in Singapore, such as
businesses, local companies, limited liability partnerships (LLPs), societies,
representative offices, healthcare institutions and trade unions, will have a
Unique Entity Number (UEN) as its identification number. "" [2] 

[1] https://www.wikiprocedure.com/index.php/Singapore_-_Registering_or_Setting_up_Local_Company
[2] https://www.ipos.gov.sg/Portals/0/about%20IP/copyrights/UENFAQs2.pdf",,False,"199100421C, 201528336R, 52813269E","Users can find identifiers by using the simple, searchable database hosted on a third-party website. Users will have to complete a Captcha box in order to see search results.

The identifiers will be under the column heading 'UEN'.

",en,Users can be directed to the third-party website from the ACRA homepage. They will need to follow a link from the box 'SEARCH Directory of Registered Entities',https://www.bizfile.gov.sg/ngbbizfileinternet/faces/oracle/webcenter/portalapp/pages/BizfileHomepage.jspx?_afrLoop=335483016357989&_afrWindowMode=0&_afrWindowId=null#%40%3F_afrWindowId%3Dnull%26_afrLoop%3D335483016357989%26_afrWindowMode%3D0%26_adf.ctrl-state%3D13fqtwn2la_4,True,SG,html,"Basic information is searchable for fee, more detailed company information can be downloaded for a fee","registration_number, registered_address, status, organisation_name",https://opencorporates.com/registers/233,closed_license,,,http://opencorporates.com/companies/sg,,primary,2016-12-07,Desk research,Accounting and Corporate Regulatory Authority (ACRA),,75,,,,,,,,,0,,,,75,,,,company,,http://www.acra.gov.sg/
JO-CCD,"The Companies Control Department is an independent national financial and administrative institution affiliated to the Minister of Industry and Trade in Jordan under the provisions of the amended Companies Law No. (40) of 2002. The work of the department is governed by the 1997 Companies Law No.

The department is responsible for registration of various types of companies within the Hashemite Kingdom of Jordan, including non-profit companies. 

It maintains a number of online services for searching company information. ",,True,"200138796, 200063296, 200115256","Search and results are only available in Arabic. You may need to use a translation service to access information in English. 

The search will generally return two identifiers. It is the national number/ national identifier that should be used. 

For some old companies, a national number may not be available. 

The other identifier will be accompanied by an organisation type (e.g. non-profit, limited company) and these numbers may only be unique for that type of organisation not across all organisations. These numbers should be be used with the JO-CCD prefix. ",ar,"The CCD offer e-Services which provide search via company name, board members, company number and national identifier numbers. ",http://www.ccd.gov.jo/e-services/home/db,True,JO,"bulk, csv, xml, json, excel",The Government of Jordan Online Portal (https://jordan.gov.jo/) has a number of datasets that appear to provide registered organisation information.,"directors_trustees_governors, registered_address, contact_address, industry_classifications, date_of_registration, contact_address, status",The CCD website states Copyright - All Rights Reserved,closed_license,False,,,,primary,2017-08-24,Desk research,Companies Control Department (Jordan), دائرة مراقبة الشركات,81,,2,1,1,1,,,1,0,,,,75,,,,"company, charity",,http://www.ccd.gov.jo/
EG-MOSS,The Ministry of Social Solidarity and Justice is the main registration body for associations and foundations in Egypt.,,False,"27-20, 1-10135, 1-10120","Either ask an organisation for their registration number, or use the directory on the NGO portal. The list of organisations can be filtered using a geographic filter. ",ar,"The NGO Portal provides a list of associations, along with registration dates and registration numbers. ",http://196.204.6.120/,True,EG,data_not_available,,"directors_trustees_governors, industry_classifications, date_of_registration, registration_number, status",,no_license,False,,,,primary,2017-08-05,IATI,Ministry of Social Solidarity and Justice (Egypt),,80,,,,,,,,,,5,,,75,,,,charity,,http://www.moss.gov.eg/
ID-KHH,Company registration is done through Ministry of Justice & Human Rights. ,,False,,,,,,True,ID,data_not_available,,,,no_license,False,,,,,2017-08-05,IATI,Ministry of Justice & Human Rights, Kementerian Hukum Dan Hak,5,,,,,,,,,,5,,,,,,,company,,http://www.kemenkumham.go.id/
GB-REV,"Some UK charitable organisations are exempt or excepted from registering with the Charity Commission. This may be due to the nature of the organisation, it's historical status, or income threshold.

However, these organisations can register for tax purposes with HM Revenue and Customs, and receive a registration number.

This may be reported prefixed with XC (for eXempt Charity).",,False,GB-REV-X6243,HMRC do not publish a list of these numbers. ,en,,,True,GB,,,,,no_license,,,,,secondary,2016-12-14,,HM Revenue and Customs,,55,,,,,,,,,,5,,,,50,,,charity,,http://www.hmrc.gov.uk/
XR-NUTS,"The European Union's Nomenclature of Territorial Units for Statistics (NUTS) provides codes for territorial areas at a number of different levels.

Where no primary identifiers for regional and local government entities are available, then NUTS level 2 and 3 codes, and Local Administrative Unit (LAU 1 and LAU 2 level) codes could be used as a proxy for the primary local government body responsible for that area. 

EuroStat currently maintain a cross-walk between different levels, codes and area names for each jurisdiction. 

To construct an identifier:

For NUTS 2 and 3 codes, use the prefix (XR-NUTS-) and then the NUTS code provided.

For LAU1 and 2 codes (Local authority/ward), use the prefix (XR-NUTS-), the country prefix and underscore (e.g. UK_) , and then the LAU_NAT_Code provided (e.g. E05004874)

For example: XR-NUTS-UK_E07000105


",,False,,,,,http://ec.europa.eu/eurostat/web/nuts/local-administrative-units,True,"HR, PT, AT, SK, NL, MT, ES, LT, GR, IE, EE, CY, CZ, FI, DE, LV, GB, SI, BG, SE, FR, HU, PL, LU, BE, IT, RO",,,,,,,,,,secondary,,Primary research,NUTS - European Union Nomenclature of Territorial Units for Statistics,,50,,,,,,,,,,,,,,50,,,"government_agency/local_government, government_agency",,http://ec.europa.eu/eurostat/web/nuts/local-administrative-units
NP-CRO,"All companies operating in Nepal must register with the Office of the Company Registrar Office. This database is available for search on the Office homepage.

""To register a company, the promoter must submit an application as prescribed by the Ministry of Industry, Commerce, and Supplies. Online filing of the required documents has been introduced and made mandatory. After the online filing, entrepreneurs are required to visit the Office of Company Registrar and submit all the original documents for further verification."" [1]

[1] http://www.doingbusiness.org/data/exploreeconomies/nepal#starting-a-business",,False,"45995, 34774, 105299","Users can search for identifiers using the simple, searchable database on the Office website. Identifiers will be under the column heading 'Registration No' on the search results.

Company numbers are sometimes reported in the format: 45995-063-064

This is made up of two parts. A CRO number and a registration year.

For example:

Searching for 45995 in the Registrar database returns Young Innovations. This is their CRO number.

063-064 refers to the financial year that Young Innovations was registered. When included within the identifier, this could be reported with a dash-separator, and not slash. ","en, ne",Data available for free from search on Office website homepage,http://www.ocr.gov.np/index.php/en/,True,NP,html,,,http://index.okfn.org/place/nepal/companies/,closed_license,,,,,primary,2016-12-02,Desk research,Company Registrar Office,,75,,,,,,,,,0,,,,75,,,,company,,http://www.cro.gov.np/
BE-GTCF,"'The Registry of the Francophone Brussels Commercial Court' does not appear to be an organisation registration agency.

The one identifier we have found in use for this list appears to be derived instead from the BE-BCE_KBO register. ",,False,,,,,,True,BE,,,,,,True,,,,deprecated,,,Au Greffe du Tribunal de Commerce Francophone de Bruxelles,,0,,,,,,,,,,,,,,,,,,,http://www.juridat.be/tribunal_commerce/bruxelles/index.htm
FR-RCS,"In France, companies register through a number of institutions, predominantly the local centres de formalités des entreprises, but all companies must eventually be registered with the Trade and Companies Register. Once registered, companies receive a SIREN or SIRET number, which is a unique business identifier.

This information is maintained by Infogreffe. Infogreffe provide a basic overview of company information for free, and bulk download of data for a fee.

A note on identifiers: 

A SIRET number is constituted by the SIREN number, plus the NIC code. 

The SIREN number relates to a business, whereas a SIRET number relates to a specific geographically located establishment which will be owned by a business.

""A SIREN number is your unique French business identification number. This 9 digit number will be requested by all French administration when dealing with you.. It is a proof that you are a fully registered French business"" [1]

""The SIRET code/number is an INSEE code which allows the geographic identification of any French establishment or business.

The 14-digit number consists of three parts:

- first, the SIREN code of the business (or legal unit or person) that owns the unit represented by the SIRET code,
- second, the NIC (French: Numéro interne de classement), is a sequential four-digit number unique to the establishment,
- and finally, a check digit that verifies the entire SIRET number.

For example, 732 829 320 00074 would refer to the seventh establishment of the business with SIREN number 732 829 320."" [2]

""Registration is administered by local centres de formalités des entreprises ( CFE), which checks your application and submits details to the relevant agencies (for a small fee). The CFE will provide you with a form M0, which is for the creation of a company."" [3] 

""Creating a company requires that it is registered with the Trade and Companies Register (RCS)."" [4] 

""WHAT SOURCE IS USED FOR INFORMATION AVAILABLE ON THE INFOGREFFE WEBSITE?

Information concerning companies entered on the Trade and Companies Register with Registries of the Commercial Courts is taken directly from public registers held by said registries. 

Information concerning companies entered on the Trade and Companies Register with other jurisdictions (district courts with commercial jurisdiction, mixed commercial courts in the overseas departments and territories) is provided by the National Industrial Property Institute (INPI).

Information concerning companies not entered on the Trade and Companies Register is taken from data on the SIRENE listing held by INSEE."" [5]

""WHAT DOCUMENTS ARE AVAILABLE ON THE INFOGREFFE WEBSITE?
Infogreffe makes the following information available to the general public:

Free information
•    Company search and information form
•    Key figures concerning a company
•    Implementing tracking (free alert, paid consultation).
•    Lists of articles of association and company deeds available.
•    Your formalities with online help to be incorporated on the Trade and Companies Register.

Paid information
View, download, order"" [6]

[1] http://www.startbusinessinfrance.com/blog/post/tip-what-is-a-siren-or-siret-number
[2] https://en.wikipedia.org/wiki/SIRET_code
[3] https://www.justlanded.com/english/France/France-Guide/Business/Paperwork
[4][5] https://www.infogreffe.com/societes/formalites-entreprise/immatriculation-entreprise.html
[6] https://www.infogreffe.com/societes/informations-et-dossiers-entreprises/aide-faq.html#1",,False,"*799 640 131 00014 (SIRET) = 799 640 131 (SIREN) - 00014 (NIC)* , 512 788 308 00025, 798 620 860 00022","Users can find identifiers using the simple, search bar present near the top of every webpage on the Infogreffe website - https://www.infogreffe.com/societes/

After searching for a company, address, director or number, the identifier is under the column header 'SIREN / SIRET' 

Please note : users may have to click on the record in order to see the full SIRET identifier number

Users can also analyse datasets on the Infogreffe Open Data portal - https://datainfogreffe.fr/explore/?sort=modified&q=

The Identifier is under the column header 'SIREN'","en, fr","Data is available through a simple search for free, a bulk download of more detailed documentation for a fee, and also through an open data portal","https://www.infogreffe.com/societes/ , https://datainfogreffe.fr/explore/?sort=modified&q=",True,FR,"bulk_download, csv, excel, json, geojson, kml, shapefile, html","Basic company informaiton is available using the home page search bar, but for more detailed information, users should go to the datainfogreffe portal, or pay for bulk download","registered_address, date_of_registration, registration_number, organisation_name, activities/sector_code, financial_turnover/details, organisation_type",https://www.etalab.gouv.fr/licence-ouverte-open-licence,open_license,,,,,secondary,2016-11-25,Desk research,Trade and Companies Register , Les Greffes des Tribunaux de Commerce,63,,,1,1,1,,,,,,10,,,50,,,company,,http://www.infogreffe.fr
IE-CHY,"All charities operating in Ireland must register with the Charities Regulatory Authority. The Charities Regulator maintains a publicly searchable database of these organisations, in webpage and Excel form.

""Our work as a Regulator is to increase public trust and confidence in the management and administration of charitable organisations and to ensure the accountability of charitable organisations to donors, beneficiaries and the public.  All charitable organisations carrying out activities in the state are required to be registered with the Charities Regulator.  All registered charities are required to report on their activities and finances to the Regulator on an annual basis. "" [1]

[1] https://www.charitiesregulatoryauthority.ie/en/CRA/Pages/WP16000071",,False,"20015763, 20072278, 20066628","Users can find an identifier by using the simple, searchable database on this webpage - https://www.charitiesregulatoryauthority.ie/en/cra/pages/CharitySearch

The identifier will appear to the right of the organisations name, in the box with the search results. Users can also click onto the organisation for more details, and the identifier will appear next to the heading 'Registered Charity Number'

Users can also download an Excel spreadsheet of the registry from this webpage - http://charitiesregulatoryauthority.ie/en/cra/pages/search_a_charity

Identifiers can be found under the column header 'Registered Charity Number'","en, ga",Searchable database and Excel dataset of registry,"https://www.charitiesregulatoryauthority.ie/en/cra/pages/CharitySearch , http://charitiesregulatoryauthority.ie/en/cra/pages/search_a_charity",True,IE,"excel, html",,"objectives/purpose, directors_trustees_governors, organisation_name, status, akas, registration_number, registered_address",,no_license,,,,,primary,2016-11-24,Desk research,Charities Regulatory Authority of Ireland,,81,,,,1,,,,,,5,,,75,,,,charity,,https://www.charitiesregulatoryauthority.ie/
NO-BRC,"Companies in Norway must be Registered with the Register of Business Enterprises. Non-profits are eligible for registry with the Register of Non-Profit Organizations. 

These registries are maintained by the Brønnøysundregistrene.  Businesses can be incorporated by applying to the online 'coordinated register notification' - Altinn, which is also maintained by Brønnøysundregistrene.  

This database can be searched by the public for free from the organisation homepage, and can be downloaded in various data format.

""The Register of Business Enterprises registers all Norwegian and foreign businesses in Norway, ensuring legal protection and financial overview."" [1] 

""Non-profit organizations that run voluntary activities not motivated by profit are eligible to register. Examples of such organizations are:

- associations
- non-commercial foundations that do not distribute funds, or that only - distribute funds to non-profit activities
- commercial foundations that only distribute funds to non-profit activities
- limited liability companies that only distribute funds to non-profit activities."" [2] 

""Brønnøysund Register Centre (Norwegian Bokmål: Brønnøysundregistrene, Norwegian Nynorsk: Brønnøysundregistra) is a Norwegian government agency that is responsible for the management of numerous public registers for Norway, and governmental systems for digital exchange of information."" [3]

[1][2] https://www.brreg.no/home/about-us/the-registers-and-their-timeline/
[3] https://en.wikipedia.org/wiki/Br%C3%B8nn%C3%B8ysund_Register_Centre",,False,"972417920, 894961902, 968253980","Users can find identifiers by searching on the homepage of the Brønnøysundregistren. Identifiers will be under the column heading 'Orgnr.'. If the user clicks on the result for more details, the identifier will be next to 'Organisasjonsnummer' , or 'Organisation number' in English.

Users can also search the database before downloading extracts (or the entire dataset). The identifiers will be under the column heading 'Organisasjonsnummer' , or 'Organisation number' in English.",no,Data is available to search for free,"https://www.brreg.no/home/ , https://www.brreg.no/produkter-og-tjenester/apne-data/",True,NO,"html, csv, json, xml, api","There is an option to translate the home page into English, but this feature does not move to other pages. ","registered_address, objectives/purpose, organisation_name, registration_number, directors_trustees_governors, activities/sector_code, date_of_registration",https://opencorporates.com/registers/191,open_license,,,http://opencorporates.com/companies/no,,primary,2016-11-30,Desk research,Brønnøysundregistrene,,90,2,,1,,1,,,1,,,10,,75,,,,"company, government_agency, charity",,http://www.brreg.no/
MW-MRA,"The Malawi Revenue Authority is responsible for processing tax payments and investigating cases of tax evasion in Malawi. They do not appear to be responsible for the registration of companies or maintaining a database of organisations.

Company registration in Malawi is done through the Department of Registrar General, under the Ministry of Justice and Constitutional Affairs.

""The Ministry of Industry and Trade is responsible for providing application forms for Registration of Business Name.
Applications may be submitted to the Department of Registrar General’s Head Office in Blantyre and its Regional Office in Lilongwe."" [1]

[1] https://www.wikiprocedure.com/index.php/Malawi_-_Register_Business_Name",,False,,OIPA search returned no results,en,,,True,MW,data_not_available,,,,no_license,True,,,,deprecated,2016-11-26,Desk research,Malawi Revenue Authority,,5,,,,,,,,,,5,,,,,,,government_agency,,http://www.mra.mw/
KE-RSO,"The Registrar of Societies is held under the Office of the Attorney General and Department of Justice. Interest groups in Kenya apply to the Registrar of Societies for both registration and exemption from registration of being a 'society'. But there is no indication that societies have legal/corporate foundation. There is also no publicly available database of the Registrar of Societies.

For Kenya's NGO registry list, users should look to KE-NCB. Please note there is currently no publicly available dataset for this registry.

""In summary, State Law Office and Department of Justice is mandated to promote the rule of law and public participation; support Government’s investment in socio-economic development; promote transparency, accountability, ethics and integrity; spearhead policy, legal and institutional reforms; promote economic governance and empowerment; promotion, fulfillment and protection of human rights; undertake administrative management; capacity building; and enhance access to justice."" [1]

[1] http://www.statelaw.go.ke/about-office-of-the-attorney-general-and-department-of-justice/",,False,,None available,en,,None available,True,KE,data_not_available,,,,no_license,True,,,,deprecated,2016-12-27,Desk research,Registrar of Societies,,5,,,,,,,,,,5,,,,,,,"unincorporated_body, charity",,http://www.attorney-general.go.ke/
EE-RIK,"The Centre of Registers and Information Systems (RIK) provides a number of services for Estonian individuals and business, in particular electronic services. These include the maintenance of the land registry database, criminal records database, company registry database and more. They also have a portal for the online registration of companies.

""COMPANY REGISTRATION PORTAL

This environment allows companies to submit electronic documents to the Business Register without using the services of a notary. The portal allows submitting applications for registering a new company, for amending the registry data, for liquidating and for deleting a company from the registry.

You can view the data related to you free-of-charge by logging in with your ID-card."" [1]

[1] http://www.rik.ee/en",,False,"11975756	, 12964097, 10483761","Users can search for a company using the E-BUSINESS REGISTER search bar on the homepage - http://www.rik.ee/en . 

Users can also download the Commercial Register as a file from this list of open datasets - http://www.rik.ee/en/open-data

The data is available as either a CSV or XML zip file, which can then be opened and searched. The file is approx. 42mb. The identifiers will be under the column header 'ariregistri_kood'","en, et",The data is also linked on the national data portal at https://opendata.riik.ee/dataset/http-avaandmed-rik-ee-andmed-ariregister,http://avaandmed.rik.ee/andmed/ARIREGISTER/,True,EE,"csv, xml, html, bulk_download",Entire Commercial Register available as CSV and XML from this page - http://avaandmed.rik.ee/andmed/ARIREGISTER/,"organisation_name, status, registered_address, date_of_registration, registration_number, website",Creative Commons BY-SA 3.0,open_license,,,,,primary,2016-11-21,Desk research,Centre of Registers and Information Systems (RIK),,87,,,1,,,,,1,,,10,,75,,,,company,,http://www.rik.ee/en/e-business-register
GB-CHC,"There are four main types of charity structure in the UK: 

(1) Charitable incorporated organisation (CIO) 
(2) charitable company (limited by guarantee) 
(3) unincorporated association 
(4) trust


",,True,"279417, 1090095,  1173575",,en,,https://www.gov.uk/government/organisations/charity-commission,True,GB,bulk,Bulk download available at http://data.charitycommission.gov.uk/,registered_address,Open Government Licence v2.0,open_license,False,,,,primary,2016-09-17,,Charity Commission,,87,,2,,,,,,,,,10,,75,,,,charity,"GB-WLS, GB-ENG",http://www.charity-commission.gov.uk/
TR-MOI,"All non-profit associations operating in Turkey should register with the Department of Associations. 

During registration, they will be given a registration number. ",,False,27-018-163,Identifiers are provided to organisations when they first register. Ask the organisation to check their registration certificate. ,"tr, en",An online information system is available at https://www.dernekler.gov.tr/ but it appears to require log-in only accessible to registered NGOs. ,,True,TR,data_not_available,,,,no_license,False,,,,primary,2017-07-18,IATI,"Department of Associations (Ministry of Interior, Turkey)",Dernekler Dairesi Başkanlığı,80,,,,,,,,,,5,,,75,,,,charity,,https://www.dernekler.gov.tr/
GB-LAE,"The Local Authorities for England Register has been developed with the UK Department for Communities and Local Government (DCLG), and contains identifiers for 350+ local authorities. 

It uses the second portion of '[ISO_3166-2](https://en.wikipedia.org/wiki/ISO_3166-2:GB)' codes where these are available, and creates new codes where they are not. ",,True,"WOT, BAS, GED",Look for the value of the 'Local-authority-eng' field. ,en,,https://local-authority-eng.register.gov.uk/records,True,GB,"api, bulk, csv, json, rdf",,"date_of_registration, expiry_date, status",Open Government Licence v3.0,open_license,False,,,,secondary,2017-04-06,https://github.com/OpenDataServices/org-ids/issues/67,Local Authorities for England Register,,67,2,2,1,,1,,1,,,,10,,,50,,,"government_agency/local_government, government_agency",GB-ENG,https://local-authority-eng.register.gov.uk/records
CH-FDJP,"The Swiss Commercial Register is administered by the cantons under the supervision of the Swiss Confederation. All the commercial register entries made by the cantonal register offices are published in the Swiss Official Gazette of Commerce (SOGC) after having been checked and approved by the Federal Commercial Registry Office.

Since January 2011, all companies, foreign branches and associations / foundations registered in the various Swiss Commerce Registries are assigned a unique federal Company Identification Number, locally known as IDE (French), UID (German), IDI (Italian). 

Previously, identifiers were of the format CH-RRR.X.XXX.XXX-P, where RRR is the canton number, X.XXX.XXX is the company number, and P is a check-digit. Some older or inactive companies may still have identifiers of this form. 

[1]: https://opencorporates.com/registers/250
",,True,"CHE250363279, CHE106009709, CHE104867501","New and active companies should have a UID assigned by the Federal Statistics Office. This begins 'CHE' and may be displayed with spaces and punctuation. 

All punctuation should be removed when recording the identifier. This is the preferred identifier to use with the CH-FDJP prefix. 

In some cases, it may not be available, and the commercial register number found in the CHID field and starting 'CH', or the ""EHRA ID"" (English: Federal Commercial Registry Office Identifier or ""FCRO ID"") may be used.

Note that Open Corporates uses the EHRA ID, but displays the UID when this is available. 
","de, fr, en, it",A unified search of commercial registries from each canton is available at https://www.zefix.ch/,https://www.zefix.ch/,True,CH,data_not_available,Data can only be accessed through the search interface. No bulk data is available. ,"registered_address, tax_id_number, status",,no_license,False,CH-ZEFIX,https://opencorporates.com/companies/ch/,,primary,2017-08-05,IATI and ProZorro,"Commercial Registry, Federal Office of Justice (Switzerland)",,80,,,,,,,,,,5,,,75,,,,company,,https://www.zefix.ch/de/search/entity/welcome
CA_NB-NWB_NOB,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,"en, fr",,http://www.snb.ca/e/6000/6600e.asp,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,Corporate Registry , Registre corporatif,75,,,,,,,,,0,,,,75,,,,company,CA-NB,https://www.pxw1.snb.ca/snb7001/e/2000/2500e.asp
